Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2026-07-31,WK 31,Mansarovar,Zomato,Closing,FOFO,ROI,445.96000000000004,123.04,22.3,549.0,0,2,22.411657559198545,222.98000000000002,200-300,20%-30%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,In Store,Dinner,COCO,KA,11428.76,958.5500000000001,571.84,12387.31,0,72,7.738161069675338,158.73277777777778,100-200,1%-10%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,In Store,Late Night,COCO,KA,703.42,0.0,35.18,703.42,0,5,0.0,140.684,100-200,0%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,In Store,Lunch,COCO,KA,2149.87,0.0,107.56,2149.87,0,14,0.0,153.56214285714285,100-200,0%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,In Store,Snacks,COCO,KA,4546.53,851.9300000000001,227.46,5398.46,0,32,15.780981983750921,142.0790625,100-200,10%-20%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Ownly,Dinner,COCO,KA,557.0,0.0,27.86,557.0,0,3,0.0,185.66666666666666,100-200,0%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Swiggy,Dinner,COCO,KA,2604.01,1743.99,0.0,4228.0,0,8,41.248580889309366,325.50125,300-400,40%-50%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Swiggy,Late Night,COCO,KA,2512.0,1390.32,0.0,3732.32,0,8,37.25082522398937,314.0,300-400,30%-40%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Swiggy,Lunch,COCO,KA,766.0,677.0,0.0,1413.0,0,5,47.91224345364473,153.2,100-200,40%-50%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Swiggy,Snacks,COCO,KA,3494.01,1602.65,0.0,4916.66,0,12,32.596315384834426,291.1675,200-300,30%-40%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Zomato,Breakfast,COCO,KA,125.0,115.0,6.26,230.0,0,1,50.0,125.0,100-200,40%-50%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Zomato,Dinner,COCO,KA,2663.0,2315.01,133.18,4818.01,0,12,48.049090807200486,221.91666666666666,200-300,40%-50%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Zomato,Late Night,COCO,KA,998.7,814.3,49.94,1753.0,0,4,46.451796919566455,249.675,200-300,40%-50%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Zomato,Lunch,COCO,KA,1384.1,904.9,69.22,2219.0,0,7,40.77963046417305,197.72857142857143,100-200,40%-50%
Frozen Bottle,2026-08-01,WK 31,AECS Layout,Zomato,Snacks,COCO,KA,1860.31,904.02,93.08,2664.33,0,6,33.93048158448841,310.0516666666667,300-400,30%-40%
Madno,2026-08-01,WK 31,AECS Layout,Ownly,Late Night,COCO,KA,250.0,0.0,12.5,250.0,0,1,0.0,250.0,200-300,0%
Madno,2026-08-01,WK 31,AECS Layout,Ownly,Snacks,COCO,KA,160.0,0.0,8.0,160.0,0,1,0.0,160.0,100-200,0%
Madno,2026-08-01,WK 31,AECS Layout,Swiggy,Dinner,COCO,KA,610.81,318.7,0.0,879.51,0,3,36.23608600243317,203.60333333333332,200-300,30%-40%
Madno,2026-08-01,WK 31,AECS Layout,Swiggy,Lunch,COCO,KA,174.0,76.0,0.0,250.0,0,1,30.4,174.0,100-200,30%-40%
